Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
72,2.623505,False,0.33,down,UpArrow,2.499878,101.6989,-0.506897,2.447947
73,1.00238,False,0.33,left,RightArrow,1.419867,127.327,-0.8609546,1.129062
74,2.967712,True,0.33,up,UpArrow,2.374397,93.80833,-0.1577047,2.369153
75,0.9657898,True,0.33,left,LeftArrow,0.1101823,122.3239,-0.05891508,0.09310827
76,0.9675293,True,0.33,right,RightArrow,3.840739,50.45141,2.445523,2.961536
77,1.444427,True,0.33,right,RightArrow,2.879336,50.82571,1.818823,2.232142
78,1.367004,True,0.33,left,LeftArrow,0.266942,15.44982,0.2572958,0.07111187
79,0.8206787,True,0.33,up,UpArrow,2.397788,91.56622,-0.06553674,2.396893
80,9.445618,False,0.33,down,UpArrow,0.8937206,346.3753,0.868571,-0.2105252
81,9.109741,True,0.33,right,RightArrow,1.684718,166.7751,-1.640038,0.3854194
82,3.946045,True,0.33,up,UpArrow,1.685444,14.7903,1.6296,0.4302637
83,2.377136,True,0.33,left,LeftArrow,1.434431,35.28015,1.17098,0.8284914
84,0.7333069,True,0.33,left,LeftArrow,0.7017469,102.0907,-0.1469882,0.6861802
85,1.02298,True,0.33,up,UpArrow,0.2582088,70.86512,0.08463905,0.2439426
86,0.9005127,False,0.33,down,UpArrow,3.401525,264.0356,-0.3534539,-3.383112
87,4.733795,True,0.33,right,RightArrow,3.320444,31.27044,2.838073,1.72357
88,1.08963,True,0.33,down,DownArrow,1.442697,0.7663822,1.442568,0.01929678
89,0.8323975,True,0.33,left,LeftArrow,0.0920558,348.6316,0.09024967,-0.01814574
90,0.8849182,True,0.33,up,UpArrow,1.363903,110.6961,-0.4820181,1.275888
91,1.730347,False,0.33,left,RightArrow,3.08824,132.6948,-2.094115,2.269781
92,3.678314,True,0.33,left,LeftArrow,0.851594,46.62975,0.5847982,0.6190504
93,0.6561584,True,0.33,left,LeftArrow,3.436797,209.3972,-2.994266,-1.686993
94,1.03418,True,0.33,up,UpArrow,1.943894,217.2813,-1.5467,-1.177473
95,3.244995,True,0.33,left,LeftArrow,2.57574,270.4944,0.02222296,-2.575644
96,3.068542,False,0.33,left,RightArrow,2.644307,274.1282,0.190359,-2.637446
97,2.204559,False,0.33,down,UpArrow,3.784513,100.8587,-0.7129534,3.716751
98,4.668243,False,0.33,up,RightArrow,2.74045,14.20631,2.656643,0.6725453
99,1.737061,True,0.33,up,UpArrow,2.468594,276.802,0.2923779,-2.451219
100,1.211182,True,0.33,up,UpArrow,1.162092,220.5188,-0.8834138,-0.7550093
101,9.255341,True,0.33,left,LeftArrow,2.374289,198.8311,-2.247204,-0.7663699
102,4.234436,False,0.33,down,RightArrow,0.4756732,222.6577,-0.3498173,-0.3223242
103,4.772064,False,0.33,down,RightArrow,0.3045979,268.7368,-0.006715225,-0.3045238
104,0.7004395,True,0.33,up,UpArrow,2.368351,185.9697,-2.355508,-0.246315
105,0.9219971,True,0.33,right,RightArrow,2.295504,155.5463,-2.089589,0.9502401
106,0.9347229,False,0.33,left,RightArrow,0.1818142,247.334,-0.07006352,-0.1677722
107,4.367737,True,0.33,left,LeftArrow,3.525632,198.7476,-3.338575,-1.133137
108,1.846252,True,0.33,left,LeftArrow,0.7842026,275.7967,0.07920367,-0.7801926
109,8.191345,True,0.33,down,DownArrow,2.247503,211.9625,-1.90677,-1.189748
110,1.056396,True,0.33,up,UpArrow,1.190343,357.494,1.189205,-0.05204572
111,0.7698059,True,0.33,up,UpArrow,2.741092,160.7716,-2.588176,0.9027355
112,0.9232483,True,0.33,right,RightArrow,1.684765,33.69623,1.401708,0.93469
113,1.29129,True,0.33,right,RightArrow,0.376112,114.0838,-0.153481,0.3433712
114,2.710297,True,0.33,right,RightArrow,3.647101,304.7654,2.079642,-2.99607
115,1.094482,True,0.33,left,LeftArrow,1.652551,333.324,1.476653,-0.7419044
116,3.144501,True,0.33,left,LeftArrow,0.1578341,117.121,-0.07195202,0.1404795
117,6.617035,True,0.33,right,RightArrow,3.34315,2.916484,3.33882,0.1701004
118,4.366791,False,0.33,right,DownArrow,2.569217,113.7385,-1.03427,2.351842
119,3.267151,True,0.33,left,LeftArrow,0.4093618,37.8897,0.3230661,0.2514068
120,13.61185,True,0.33,left,LeftArrow,0.1746793,313.8192,0.1209453,-0.1260361
121,0.8339844,True,0.33,left,LeftArrow,2.567945,122.2525,-1.370388,2.171722
122,0.6669922,True,0.33,up,UpArrow,0.4557681,196.7734,-0.4363768,-0.1315292
123,0.5750732,True,0.33,up,UpArrow,3.163202,83.7514,0.3442913,3.14441
124,1.780212,True,0.33,left,LeftArrow,3.261042,62.74043,1.49363,2.898872
125,2.364288,True,0.33,up,UpArrow,1.307205,162.6437,-1.247686,0.3899568
126,2.156586,True,0.33,right,RightArrow,2.396554,87.83462,0.09055167,2.394842
127,2.106812,True,0.33,up,UpArrow,2.042995,177.7669,-2.041444,0.07960638
128,3.05719,True,0.33,left,LeftArrow,3.648456,45.15969,2.572647,2.587028
129,2.74527,True,0.33,right,RightArrow,2.893518,265.3586,-0.2341403,-2.88403
130,1.542145,True,0.33,up,UpArrow,3.493053,195.2711,-3.369714,-0.9200258
131,3.681244,True,0.33,up,UpArrow,0.06282806,158.8136,-0.0585815,0.02270625
132,0.9220276,True,0.33,left,LeftArrow,0.4946518,184.3123,-0.4932514,-0.03719413
133,4.565369,True,0.33,down,DownArrow,1.503547,116.6529,-0.6744677,1.343781
134,2.122955,True,0.33,left,LeftArrow,2.238247,32.66695,1.884206,1.208104
135,2.38858,False,0.33,down,UpArrow,3.504753,349.3552,3.44444,-0.6473998
136,3.11142,True,0.33,right,RightArrow,0.1482754,43.67567,0.1072417,0.1023953
137,0.9342346,True,0.33,up,UpArrow,2.924788,72.68503,0.870488,2.792245
138,1.724243,True,0.33,up,UpArrow,3.452531,311.8697,2.304354,-2.570977
139,2.769531,False,0.33,up,DownArrow,1.886038,26.80866,1.683322,0.8506266
140,0.6660767,True,0.33,down,DownArrow,0.6979752,338.2473,0.6482737,-0.2586707
141,4.172791,True,0.33,right,RightArrow,1.360219,277.5377,0.1784306,-1.348465
142,1.34552,False,0.33,down,UpArrow,0.4144406,300.647,0.2112602,-0.3565532
143,3.216614,True,0.33,left,LeftArrow,3.347981,124.1902,-1.881373,2.769371
144,1.044983,False,0.33,down,UpArrow,2.129213,352.6412,2.111676,-0.2727131
145,1.532776,True,0.33,right,RightArrow,3.498377,6.32555,3.477079,0.3854426
146,1.377808,True,0.33,down,DownArrow,3.461489,31.43034,2.953601,1.805033
147,1.280029,True,0.33,right,RightArrow,0.003347397,276.7868,0.0003955812,-0.003323941
148,0.8874512,True,0.33,up,UpArrow,3.435198,280.7906,0.6431372,-3.374457
149,2.026062,False,0.33,right,DownArrow,3.621133,70.96009,1.18131,3.423027
150,1.079224,True,0.33,up,UpArrow,3.074806,261.6551,-0.4462533,-3.042251
151,5.089844,True,0.33,up,UpArrow,0.3472681,323.3708,0.2786871,-0.2071922
152,0.7557373,True,0.33,left,LeftArrow,1.147296,175.3137,-1.143461,0.09373426
153,2.345276,True,0.33,down,DownArrow,2.006042,63.3055,0.9011809,1.792227
154,3.470154,True,0.33,up,UpArrow,2.378823,185.1506,-2.369217,-0.2135577
155,6.910034,False,0.33,up,RightArrow,3.573034,234.7173,-2.063824,-2.916712
156,0.9448242,False,0.33,down,UpArrow,2.885544,328.8101,2.468453,-1.494356
157,2.888184,False,0.33,left,RightArrow,0.9729505,301.8039,0.5127586,-0.8268683
158,10.8338,True,0.33,right,RightArrow,2.033069,146.0239,-1.685966,1.136174
159,1.123047,True,0.33,up,UpArrow,0.1285315,16.09956,0.1234906,0.03564271
160,7.724304,False,0.33,down,RightArrow,1.804305,6.625872,1.792253,0.208191
161,1.367493,False,0.33,down,RightArrow,1.696632,175.627,-1.691693,0.1293683
162,4.291199,False,0.33,up,DownArrow,2.436286,155.1978,-2.211566,1.021991
163,0.9068604,True,0.33,left,LeftArrow,0.0294714,272.8817,0.00148165,-0.02943413
164,0.6328735,True,0.33,right,RightArrow,3.88975,130.8149,-2.542409,2.94386
165,3.891541,True,0.33,right,RightArrow,2.829375,117.2809,-1.296854,2.514664
166,0.9291382,True,0.33,up,UpArrow,1.7765,103.725,-0.4214945,1.725773
167,4.536438,True,0.33,down,DownArrow,2.814458,109.3074,-0.9305612,2.656169
168,2.988708,True,0.33,right,RightArrow,1.822655,143.9431,-1.473495,1.072793
169,4.7901,True,0.33,left,LeftArrow,2.396743,39.37946,1.852589,1.520622
170,1.201172,True,0.33,right,RightArrow,1.327578,7.442465,1.316393,0.1719619
171,0.666748,True,0.33,left,LeftArrow,3.396202,207.8646,-3.002427,-1.58733
172,1.921997,True,0.33,right,RightArrow,1.620154,166.3848,-1.574626,0.3813834
173,2.133423,True,0.33,up,UpArrow,2.810145,146.0246,-2.330391,1.570412
174,1.169861,True,0.33,right,RightArrow,3.95736,255.2701,-1.006211,-3.827302
175,2.408386,False,0.33,up,DownArrow,2.301656,178.1249,-2.300424,0.07531322
176,3.848938,True,0.33,down,DownArrow,0.8767166,310.5808,0.5703212,-0.6658571
177,1.101685,True,0.33,right,RightArrow,0.8730459,96.17627,-0.09392891,0.8679784
178,2.278076,True,0.33,right,RightArrow,1.508835,304.133,0.8466318,-1.248919
179,2.366455,True,0.33,left,LeftArrow,3.914761,251.0036,-1.274287,-3.70156
180,3.988831,False,0.33,down,LeftArrow,2.518195,312.743,1.709126,-1.849377
181,2.578369,True,0.33,right,RightArrow,0.1417232,105.0313,-0.03675542,0.136874
182,2.701904,False,0.33,right,LeftArrow,3.180232,87.0451,0.1639402,3.176003
183,0.8912354,False,0.33,left,RightArrow,1.867944,157.6795,-1.727986,0.70942
184,2.49469,False,0.33,up,DownArrow,1.176372,92.95041,-0.06054968,1.174813
185,1.522827,False,0.33,left,RightArrow,3.195954,294.6501,1.332958,-2.904711
186,3.22583,True,0.33,down,DownArrow,3.292834,27.92549,2.909408,1.542109
187,1.844666,True,0.33,right,RightArrow,0.7473969,316.3214,0.5405364,-0.5161614
188,5.533691,False,0.33,down,LeftArrow,3.563312,117.1787,-1.627606,3.169872
189,2.789429,False,0.33,down,LeftArrow,3.684023,336.2711,3.372575,-1.482485
190,5.141113,False,0.33,down,UpArrow,0.4812117,154.1687,-0.4331295,0.2096748
191,0.7329102,True,0.33,up,UpArrow,3.91616,29.53546,3.407258,1.930518
192,0.8574829,True,0.33,down,DownArrow,2.404085,62.38745,1.11427,2.130265
193,1.122803,True,0.33,right,RightArrow,3.702911,238.8952,-1.912944,-3.17052
194,0.788147,False,0.33,right,UpArrow,0.3440185,151.6308,-0.3027033,0.1634607
195,7.025879,True,0.33,up,UpArrow,3.810256,268.451,-0.102995,-3.808864
196,3.545959,False,0.33,left,DownArrow,1.480671,58.50194,0.7736056,1.262505
197,1.690979,True,0.33,right,RightArrow,3.336333,18.25271,3.168463,1.044969
198,0.725769,True,0.33,left,LeftArrow,3.157447,209.3694,-2.75164,-1.548531
199,3.144836,False,0.33,right,UpArrow,3.960657,74.54807,1.055237,3.817496
200,1.91095,False,0.33,down,UpArrow,3.088636,243.1107,-1.39689,-2.7547
201,4.796265,False,0.33,left,UpArrow,2.509671,347.4659,2.449857,-0.5446525
202,2.401062,True,0.33,right,RightArrow,0.1645207,128.577,-0.1025894,0.1286176
203,1.143433,True,0.33,up,UpArrow,2.910039,191.9821,-2.846637,-0.6041403
204,3.646912,True,0.33,left,LeftArrow,1.970783,322.8908,1.571674,-1.189044
205,1.156616,True,0.33,up,UpArrow,2.553923,333.8007,2.291542,-1.127545
206,0.6342163,True,0.33,left,LeftArrow,0.02222443,346.0394,0.02156796,-0.005361754
207,1.802002,False,0.33,left,RightArrow,0.09103727,106.8301,-0.02635843,0.08713792
208,4.751282,True,0.33,down,DownArrow,2.077307,5.354075,2.068244,0.1938342
209,1.756226,True,0.33,right,RightArrow,0.6848707,103.0968,-0.1551895,0.6670563
210,3.2323,True,0.33,left,LeftArrow,0.3958888,341.118,0.3745849,-0.1281176
211,10.3894,True,0.33,down,DownArrow,0.3079705,74.09016,0.08442221,0.2961735
212,2.076416,False,0.33,left,RightArrow,2.791887,79.28825,0.518923,2.743237
213,0.7680664,True,0.33,up,UpArrow,0.1884141,38.39958,0.1476597,0.1170319
214,0.5768433,True,0.33,up,UpArrow,2.407061,123.216,-1.31858,2.013775
215,0.7463379,True,0.33,up,UpArrow,3.955164,225.4816,-2.773119,-2.82013
216,11.72321,False,0.33,left,RightArrow,0.7488227,144.285,-0.6079926,0.4371275
217,1.745239,True,0.33,left,LeftArrow,3.956635,115.5456,-1.706216,3.569844
218,3.532959,False,0.33,right,UpArrow,2.628144,20.14948,2.467294,0.9053183
219,0.9213257,True,0.33,down,DownArrow,2.443835,343.2343,2.339954,-0.7049455
220,1.633423,False,0.33,down,RightArrow,3.141985,110.0387,-1.076616,2.951774
221,2.233459,False,0.33,down,UpArrow,3.868905,242.938,-1.760172,-3.445318
222,1.018066,False,0.33,right,UpArrow,0.1034923,166.4226,-0.1006,0.02429564
223,1.19812,True,0.33,left,LeftArrow,1.871315,59.77374,0.9420499,1.616899
224,0.689209,True,0.33,right,RightArrow,2.734902,48.47138,1.813224,2.047415
225,3.780212,False,0.33,down,UpArrow,1.675519,179.0949,-1.67531,0.02646596
226,1.090088,True,0.33,up,UpArrow,3.807592,127.7013,-2.328515,3.012602
227,2.634521,False,0.33,down,UpArrow,2.765517,310.7175,1.80403,-2.096082
228,1.076477,True,0.33,up,UpArrow,2.382472,16.8889,2.279715,0.6921483
229,0.8339233,False,0.33,down,UpArrow,3.817189,214.8985,-3.130733,-2.183907
230,0.8441162,True,0.33,left,LeftArrow,0.744411,311.9523,0.4976478,-0.5536194
231,0.7286377,True,0.33,up,UpArrow,3.479368,59.021,1.790914,2.983057
232,3.69928,True,0.33,left,LeftArrow,2.064011,57.334,1.114031,1.737549
233,3.477722,True,0.33,down,DownArrow,3.163003,67.2468,1.223331,2.916857
234,1.602661,True,0.33,left,LeftArrow,2.711405,295.0719,1.148971,-2.455928
235,2.612305,False,0.33,down,UpArrow,1.360271,333.3888,1.216173,-0.6093115
236,2.555603,True,0.33,up,UpArrow,2.819088,204.3983,-2.567332,-1.164502
237,3.599731,False,0.33,down,UpArrow,3.642212,12.63488,3.554011,0.7966875
238,0.7105103,True,0.33,right,RightArrow,1.752512,273.5753,0.1092872,-1.749101
239,6.452759,True,0.33,up,UpArrow,2.301742,206.3624,-2.062369,-1.022082
240,4.630676,False,0.33,up,DownArrow,0.3675923,96.09795,-0.03904876,0.3655124
241,0.6539917,True,0.33,left,LeftArrow,2.31261,56.09855,1.289895,1.919462
242,1.956482,True,0.33,left,LeftArrow,1.146137,237.9823,-0.6076608,-0.9717919
243,2.342285,False,0.33,up,RightArrow,2.420032,159.2862,-2.263598,0.8559674
244,5.730408,True,0.33,down,DownArrow,0.9402623,202.0985,-0.8711892,-0.3537268
245,5.013733,True,0.33,right,RightArrow,3.69681,340.2272,3.478851,-1.250601
246,2.740601,False,0.33,down,RightArrow,1.47695,273.2198,0.08295392,-1.474619
247,4.02179,True,0.33,right,RightArrow,2.51053,78.229,0.5121493,2.457736
248,13.06207,True,0.33,down,DownArrow,0.9477611,194.6698,-0.9168653,-0.2400189
249,2.644104,True,0.33,right,RightArrow,0.8602276,64.45868,0.3708974,0.7761615
250,0.5981445,True,0.33,down,DownArrow,1.184743,85.8788,0.08514343,1.18168
251,0.6992798,True,0.33,up,UpArrow,1.979889,12.73762,1.931164,0.436539
252,0.9353027,True,0.33,down,DownArrow,0.354353,125.222,-0.2043715,0.2894793
253,1.488281,True,0.33,left,LeftArrow,1.729243,269.0275,-0.02934904,-1.728994
254,6.312073,False,0.33,left,RightArrow,1.335547,93.99599,-0.09306984,1.3323
255,0.956604,True,0.33,right,RightArrow,0.5632868,218.1529,-0.4429488,-0.3479775
256,2.576721,True,0.33,right,RightArrow,2.8147,123.1864,-1.540666,2.355607
257,1.635132,True,0.33,left,LeftArrow,1.747469,17.57461,1.665905,0.5276437
258,0.6777954,True,0.33,down,DownArrow,2.558533,3.766079,2.553008,0.1680525
259,2.017578,True,0.33,down,DownArrow,1.465914,279.4589,0.240908,-1.445983
260,1.268921,True,0.33,left,LeftArrow,2.916949,283.3897,0.6754873,-2.837659
261,1.279236,False,0.33,up,RightArrow,1.936465,235.0741,-1.108659,-1.587694
262,2.313049,True,0.33,right,RightArrow,1.925419,8.996773,1.901731,0.3010948
263,1.701416,True,0.33,up,UpArrow,1.700534,314.2415,1.186436,-1.218271
264,1.334961,True,0.33,up,UpArrow,3.286061,65.72953,1.350717,2.995624
265,5.812744,True,0.33,up,UpArrow,0.1091514,125.8608,-0.06394279,0.08846095
266,1.034729,True,0.33,down,DownArrow,0.4671803,16.92362,0.4469484,0.1359946
267,0.692749,True,0.33,up,UpArrow,2.261387,145.3063,-1.859327,1.287157
268,2.5354,True,0.33,up,UpArrow,0.6228709,134.1326,-0.433718,0.4470536
269,2.679688,True,0.33,down,DownArrow,2.842237,292.4752,1.086538,-2.626357
270,2.689636,False,0.33,left,DownArrow,3.344757,261.2023,-0.5115673,-3.305404
