Trial,Reaction_Time,Response,Coherence,Direction,Radius,Theta,X,Y
248,3.052124,True,0.5,down,1.363575,57.9767,0.7230549,1.156083
249,0.6896362,False,0.5,left,2.241253,215.5832,-1.822747,-1.30415
250,4.844971,True,0.5,up,3.497166,357.9763,3.494985,-0.1234946
251,0.9760742,False,0.5,right,0.8164845,274.509,0.06418797,-0.8139575
252,2.989746,False,0.5,right,2.253587,274.1956,0.1648769,-2.247547
253,0.8374634,False,0.5,left,2.936674,46.74232,2.012446,2.138718
254,1.776245,True,0.5,down,0.004885674,85.57491,0.0003769569,0.00487111
255,0.5786133,False,0.5,right,2.931232,343.1303,2.805093,-0.8506315
256,1.569519,False,0.5,right,2.480284,133.7293,-1.714502,1.792288
257,1.090942,True,0.5,up,2.322547,54.51429,1.348238,1.891158
258,1.39093,True,0.5,up,2.530913,324.9136,2.071011,-1.454798
259,1.322998,False,0.5,right,1.702636,184.2953,-1.697854,-0.127522
260,0.9205933,False,0.5,left,3.474625,214.4438,-2.865459,-1.965239
261,5.213318,True,0.5,down,3.67982,67.75903,1.392822,3.406042
262,0.9892578,False,0.5,left,0.4947128,161.6817,-0.4696432,0.1554865
263,0.7774048,False,0.5,right,2.76399,61.52708,1.317714,2.429665
264,0.9241943,True,0.5,up,0.5315418,238.3866,-0.278626,-0.4526635
265,0.934021,False,0.5,left,0.645309,29.38598,0.5622796,0.3166471
266,0.8098755,False,0.5,left,0.2588077,341.9822,0.2461158,-0.08005259
267,0.5725708,False,0.5,right,3.215279,169.4349,-3.160771,0.5895318
268,3.955811,True,0.5,down,1.078683,30.98436,0.924763,0.5553103
269,0.965271,False,0.5,right,2.876122,134.3939,-2.012099,2.055125
270,2.38916,True,0.5,down,1.695905,99.28188,-0.2735355,1.6737
271,0.9332275,False,0.5,left,0.9798012,351.0891,0.9679754,-0.1517691
272,1.956116,True,0.5,down,1.664825,173.0869,-1.652722,0.2003844
273,1.623596,True,0.5,down,3.589762,166.2527,-3.486926,0.8530744
274,0.9298706,True,0.5,up,1.755981,269.6436,-0.01092438,-1.755947
275,2.090393,True,0.5,down,1.159075,239.4586,-0.5889969,-0.9982678
276,2.059143,False,0.5,right,2.836799,343.9274,2.725914,-0.7853824
277,1.456238,True,0.5,up,2.060582,169.5378,-2.026325,0.3741753
278,2.223572,True,0.5,down,0.782927,302.8921,0.4251752,-0.6574198
279,1.610474,True,0.5,down,0.5719414,214.1351,-0.4734052,-0.3209431
280,0.7218018,False,0.5,left,0.3166161,27.08229,0.2819002,0.1441457
281,0.6132202,True,0.5,up,3.10322,26.2114,2.784118,1.370644
282,4.68811,True,0.5,down,1.567794,328.0965,1.330962,-0.828563
283,1.871887,True,0.5,up,3.80784,50.75859,2.408798,2.949125
284,3.110596,True,0.5,up,3.553934,172.2094,-3.521131,0.4817476
285,5.746704,True,0.5,down,0.8696795,213.4116,-0.7259528,-0.4788893
286,1.634033,False,0.5,left,2.05878,7.489672,2.041215,0.2683567
287,1.687988,False,0.5,right,1.658266,253.652,-0.4667525,-1.591222
288,1.256531,False,0.5,right,2.990503,301.074,1.543533,-2.56137
289,2.65625,True,0.5,up,0.5979142,122.2435,-0.3189981,0.5057091
290,2.146667,True,0.5,down,0.8769093,146.1827,-0.7285509,0.4880404
291,1.632874,True,0.5,up,0.9890776,322.6302,0.7860541,-0.6003277
