Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
0,1.122242,True,0.33,right,RightArrow,2.773405,197.0856,-2.651006,-0.8148267
1,0.7801857,True,0.33,up,UpArrow,1.821613,339.075,1.701474,-0.6505821
2,1.311668,True,0.33,right,RightArrow,1.058196,83.74316,0.1153282,1.051893
3,0.9446144,True,0.33,right,RightArrow,3.338061,284.3891,0.8295289,-3.233347
4,0.8108406,True,0.33,up,UpArrow,0.8424468,36.23377,0.6795278,0.4979544
5,0.8107643,True,0.33,up,UpArrow,3.669265,63.95073,1.611336,3.296529
6,3.032051,True,0.33,down,DownArrow,0.3105063,141.091,-0.2416189,0.1950244
7,0.8553696,True,0.33,right,RightArrow,3.001716,66.82748,1.181178,2.75955
8,0.8258705,True,0.33,left,LeftArrow,1.515625,347.6154,1.480356,-0.3250618
9,2.354202,False,0.33,right,LeftArrow,1.122093,233.1361,-0.673162,-0.8977453
10,0.9864464,True,0.33,left,LeftArrow,3.855216,129.9225,-2.474087,2.956617
11,0.9093475,True,0.33,right,RightArrow,1.380394,187.6181,-1.36821,-0.1829971
12,0.6451988,True,0.33,up,UpArrow,0.8315573,153.6818,-0.7453629,0.3686754
13,1.16317,True,0.33,right,RightArrow,0.2262859,354.9696,0.2254144,-0.0198416
14,1.08868,False,0.33,down,UpArrow,0.8024087,349.1313,0.7880149,-0.1513018
15,0.8898506,True,0.33,right,RightArrow,0.7057238,0.2313137,0.705718,0.00284913
16,6.646847,True,0.33,up,UpArrow,0.3252912,197.5722,-0.3101121,-0.09820793
17,5.111748,True,0.33,down,DownArrow,0.3367872,175.8428,-0.3359011,0.02441448
18,15.17455,False,0.33,down,RightArrow,2.139268,23.34887,1.964081,0.8478533
19,1.122398,True,0.33,right,RightArrow,2.596155,72.6619,0.7736792,2.478193
20,3.295189,False,0.33,right,DownArrow,2.117307,23.31629,1.944395,0.8380443
21,2.769264,True,0.33,left,LeftArrow,2.594709,359.1103,2.594396,-0.04029033
22,4.067711,True,0.33,down,DownArrow,2.293286,56.48934,1.266105,1.912103
23,0.8006058,True,0.33,up,UpArrow,1.53711,0.2459908,1.537096,0.006599329
24,0.8122025,False,0.33,down,UpArrow,1.481602,32.52567,1.249214,0.7966241
25,5.179527,True,0.33,up,UpArrow,2.174332,153.3155,-1.94275,0.9764438
26,9.642654,False,0.33,left,RightArrow,0.8219013,285.9209,0.2254557,-0.7903743
27,0.7756119,True,0.33,left,LeftArrow,3.961522,334.8972,3.587348,-1.68065
28,0.9669724,True,0.33,up,UpArrow,0.4094419,107.4109,-0.1225139,0.3906828
29,8.020599,True,0.33,up,UpArrow,2.93691,338.0741,2.724475,-1.096665
30,16.2164,False,0.33,right,UpArrow,1.698336,255.5943,-0.4225215,-1.644938
31,13.00468,False,0.33,up,DownArrow,3.477298,272.0989,0.1273555,-3.474965
32,2.679962,True,0.33,right,RightArrow,1.132132,284.1176,0.2761425,-1.097938
33,3.30751,True,0.33,left,LeftArrow,1.86677,23.33187,1.714117,0.7393461
34,1.954544,True,0.33,up,UpArrow,2.140042,108.3886,-0.6750997,2.030768
35,4.411453,True,0.33,left,LeftArrow,1.070983,67.84113,0.403949,0.9918817
36,0.6994171,True,0.33,right,RightArrow,1.521512,241.6809,-0.7217779,-1.339416
37,3.257187,True,0.33,down,DownArrow,1.385281,3.55824,1.382611,0.08597484
38,2.934128,True,0.33,right,RightArrow,0.4096355,137.7686,-0.3033089,0.2753271
39,5.211777,True,0.33,down,DownArrow,0.8418293,18.77469,0.7970368,0.2709407
40,0.781662,False,0.33,down,UpArrow,0.3631563,325.3814,0.2988604,-0.2063129
41,1.056503,True,0.33,left,LeftArrow,1.65425,300.7457,0.8456995,-1.421737
42,4.722458,False,0.33,down,UpArrow,0.9306355,32.44812,0.7853424,0.4993191
43,6.128601,True,0.33,left,LeftArrow,2.150488,53.33686,1.284076,1.725036
44,3.857727,False,0.33,down,UpArrow,2.351289,108.1463,-0.7322943,2.234346
45,1.655807,True,0.33,left,LeftArrow,1.59435,161.5616,-1.512502,0.5042695
46,2.412827,False,0.33,left,RightArrow,0.2025476,289.8018,0.06861656,-0.1905709
47,0.8342285,True,0.33,right,RightArrow,2.664166,163.2498,-2.551127,0.7678112
48,2.857422,False,0.33,left,RightArrow,2.971914,10.07596,2.926077,0.5199474
49,2.233383,True,0.33,left,LeftArrow,0.384028,50.0786,0.2464446,0.2945208
50,3.811569,True,0.33,left,LeftArrow,3.422403,111.7724,-1.269442,3.178263
51,4.822479,True,0.33,right,RightArrow,1.191148,61.98658,0.5594562,1.05159
52,0.8899078,True,0.33,up,UpArrow,0.1505637,93.14859,-0.008269804,0.1503364
53,9.033386,False,0.33,down,RightArrow,2.36966,350.9856,2.340392,-0.3712854
54,0.8681335,False,0.33,down,UpArrow,2.259982,281.7098,0.4586747,-2.212948
55,6.520905,False,0.33,down,UpArrow,0.04886913,275.9061,0.005028574,-0.04860973
56,4.988998,True,0.33,up,UpArrow,3.988668,58.86929,2.06211,3.41426
57,3.142944,False,0.33,right,UpArrow,3.744542,273.7601,0.2455618,-3.736481
58,1.822662,False,0.33,right,UpArrow,0.2898774,346.2444,0.2815635,-0.06892706
59,0.7236938,True,0.33,left,LeftArrow,3.827518,208.4572,-3.365052,-1.823819
60,2.648224,True,0.33,left,LeftArrow,2.766976,241.5119,-1.319784,-2.431939
61,3.770691,False,0.33,left,DownArrow,1.786252,133.4582,-1.228628,1.296599
62,2.546265,True,0.33,left,LeftArrow,1.76508,219.627,-1.359487,-1.125745
63,4.845947,True,0.33,right,RightArrow,2.406694,81.72549,0.3463615,2.38164
64,1.556366,True,0.33,right,RightArrow,1.648659,290.734,0.5836754,-1.541882
65,4.411407,True,0.33,up,UpArrow,3.753015,175.346,-3.740641,0.3045118
66,5.033844,False,0.33,up,RightArrow,1.333486,133.2888,-0.9143397,0.9706531
67,3.234528,True,0.33,left,LeftArrow,1.993137,317.6544,1.473119,-1.342577
68,2.688385,True,0.33,right,RightArrow,1.952479,174.2253,-1.94257,0.1964544
69,2.766815,True,0.33,right,RightArrow,0.7997508,33.54495,0.6665543,0.4419351
70,3.622192,True,0.33,left,LeftArrow,2.055503,265.488,-0.1617029,-2.049133
71,1.531799,True,0.33,up,UpArrow,2.428658,289.753,0.8208024,-2.285753
72,5.332581,False,0.33,left,UpArrow,1.257931,119.9902,-0.6287783,1.089508
73,2.511902,True,0.33,up,UpArrow,0.1691709,36.76021,0.1355308,0.1012432
74,4.611023,True,0.33,up,UpArrow,1.102969,110.0776,-0.3786407,1.035941
75,3.293243,True,0.33,left,LeftArrow,1.385831,308.4411,0.8615853,-1.085449
76,2.699615,True,0.33,left,LeftArrow,1.083882,299.9783,0.5415855,-0.9388746
77,0.9111938,True,0.33,right,RightArrow,3.353619,329.4597,2.888378,-1.704123
78,4.579773,True,0.33,up,UpArrow,2.065446,142.2389,-1.632881,1.264818
79,4.335175,True,0.33,left,LeftArrow,3.231575,259.1959,-0.6057625,-3.174292
80,0.9322815,True,0.33,right,RightArrow,3.163076,93.29266,-0.1816745,3.157855
81,3.000549,False,0.33,down,UpArrow,3.75031,99.97007,-0.6493052,3.693674
82,0.8789673,False,0.33,down,RightArrow,2.273365,192.1279,-2.222626,-0.4776238
83,7.57782,False,0.33,left,RightArrow,3.246165,223.3721,-2.359668,-2.22925
84,0.8334351,True,0.33,up,UpArrow,2.148077,225.1399,-1.515207,-1.522623
85,5.499023,True,0.33,left,LeftArrow,2.445295,154.193,-2.201415,1.064537
86,4.324249,False,0.33,left,RightArrow,0.658349,105.1557,-0.1721207,0.635451
87,3.433594,True,0.33,up,UpArrow,0.8818088,75.12811,0.2263238,0.8522701
88,0.6488342,True,0.33,up,UpArrow,1.506502,162.9475,-1.440271,0.4417779
89,3.866852,True,0.33,left,LeftArrow,3.276902,91.0784,-0.06167303,3.276321
90,0.9690247,True,0.33,left,LeftArrow,1.758944,10.5243,1.729355,0.3212757
91,1.733643,False,0.33,right,UpArrow,0.4660077,81.31552,0.07036393,0.4606648
92,6.351501,True,0.33,up,UpArrow,0.4665246,93.24562,-0.02641297,0.4657763
93,0.7454834,True,0.33,right,RightArrow,2.401287,0.8890772,2.400998,0.03726005
94,1.634979,True,0.33,right,RightArrow,0.3887377,201.6791,-0.3612413,-0.1436027
95,17.08224,True,0.33,right,RightArrow,1.02327,219.5675,-0.7888124,-0.6518099
96,6.044495,False,0.33,up,DownArrow,1.084588,102.1891,-0.2289994,1.060137
97,8.33432,True,0.33,up,UpArrow,1.615512,134.5331,-1.132993,1.151611
98,1.689514,True,0.33,right,RightArrow,3.669421,341.5133,3.480068,-1.163517
99,1.578613,False,0.33,right,LeftArrow,1.198574,288.534,0.3809879,-1.13641
100,9.933929,False,0.33,down,LeftArrow,0.1685967,171.1442,-0.1665869,0.02595524
101,1.799255,True,0.33,left,LeftArrow,3.086827,237.7948,-1.645132,-2.611904
102,1.942596,False,0.33,right,DownArrow,2.20052,305.5128,1.278248,-1.791193
103,7.809662,False,0.33,right,UpArrow,1.515152,266.439,-0.09410749,-1.512226
104,2.077789,False,0.33,up,DownArrow,1.831387,128.7146,-1.145424,1.42898
105,2.867188,False,0.33,right,LeftArrow,3.219542,241.3445,-1.543906,-2.825208
106,2.089203,True,0.33,down,DownArrow,2.965609,208.4758,-2.606825,-1.413966
107,1.023285,True,0.33,up,UpArrow,3.626109,52.82081,2.191293,2.8891
108,5.523621,False,0.33,down,UpArrow,0.4313612,209.7236,-0.374606,-0.2138758
109,1.344971,False,0.33,up,RightArrow,0.9537101,95.91917,-0.09835164,0.9486253
110,0.8792725,True,0.33,right,RightArrow,2.798942,214.5792,-2.304487,-1.588527
111,4.400421,False,0.33,left,DownArrow,3.490427,327.5123,2.944199,-1.874773
112,2.934906,False,0.33,right,LeftArrow,0.07379246,180.7589,-0.07378598,-0.0009774195
113,2.191864,True,0.33,up,UpArrow,3.5645,319.8803,2.725774,-2.296915
114,3.788696,False,0.33,down,RightArrow,3.456917,163.3466,-3.31192,0.9906892
115,4.457275,False,0.33,left,RightArrow,1.655771,108.1769,-0.5165209,1.573144
116,1.266449,True,0.33,up,UpArrow,1.590025,144.0601,-1.287336,0.9332445
117,3.204529,True,0.33,left,LeftArrow,3.673488,281.1447,0.7100399,-3.604213
118,0.7781067,False,0.33,left,UpArrow,3.759917,159.8349,-3.529445,1.296145
119,1.455963,False,0.33,up,LeftArrow,1.685573,189.9472,-1.660234,-0.2911678
120,3.866638,True,0.33,left,LeftArrow,3.351888,79.21902,0.6269877,3.292725
121,1.62149,True,0.33,left,LeftArrow,1.853983,150.5248,-1.614019,0.912247
122,2.002289,True,0.33,up,UpArrow,2.575941,230.9061,-1.624371,-1.999223
123,4.334961,False,0.33,left,DownArrow,0.7151031,75.01401,0.1849134,0.6907818
124,3.657166,False,0.33,left,UpArrow,0.4908333,305.2288,0.2831338,-0.4009396
125,0.645752,True,0.33,up,UpArrow,2.511919,263.1774,-0.2984047,-2.494131
126,1.265381,True,0.33,down,DownArrow,1.07257,207.5401,-0.9510342,-0.4959229
