Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
0,1.20084,False,0.33,left,UpArrow,2.102652,34.56466,1.731505,1.19291
1,1.212715,True,0.33,right,RightArrow,1.703091,200.0004,-1.600378,-0.5825021
2,2.091309,False,0.33,left,RightArrow,2.208787,98.60554,-0.3305027,2.18392
3,4.521652,True,0.33,right,RightArrow,1.371368,2.939315,1.369564,0.07032132
4,0.6449814,True,0.33,up,UpArrow,1.565496,338.9786,1.461307,-0.5615688
5,0.5788155,True,0.33,left,LeftArrow,2.67832,198.9253,-2.533536,-0.8686714
6,3.789116,True,0.33,down,DownArrow,3.002569,168.5406,-2.942715,0.5965294
7,0.9849091,False,0.33,left,RightArrow,1.058887,35.57583,0.8612415,0.6160391
8,4.881916,False,0.33,left,RightArrow,0.9589958,225.0959,-0.6769769,-0.6792461
9,3.980293,True,0.33,down,DownArrow,2.311821,30.92038,1.98327,1.187921
10,3.7696,False,0.33,right,UpArrow,1.016701,289.0272,0.3314614,-0.9611521
11,1.098045,True,0.33,left,LeftArrow,2.364237,280.3058,0.4229652,-2.326095
12,1.302521,False,0.33,right,UpArrow,1.615819,83.41808,0.1852112,1.605169
13,4.024513,True,0.33,down,DownArrow,3.103387,208.7686,-2.720337,-1.493578
14,2.845116,False,0.33,right,UpArrow,3.602211,97.25413,-0.4548527,3.573378
15,1.500839,False,0.33,up,RightArrow,2.039611,341.2411,1.931267,-0.6559117
16,1.81028,True,0.33,right,RightArrow,3.050884,106.8342,-0.8835438,2.920144
17,2.877724,True,0.33,left,LeftArrow,3.333265,349.0011,3.272035,-0.6359566
18,3.655121,True,0.33,left,LeftArrow,2.699863,163.162,-2.584114,0.7820596
19,3.835915,True,0.33,down,DownArrow,3.901817,147.2237,-3.280612,2.112288
20,2.999741,False,0.33,left,RightArrow,2.638547,90.63216,-0.0291114,2.638387
21,1.012016,True,0.33,up,UpArrow,0.9743481,153.3002,-0.8704562,0.4377902
22,5.887093,False,0.33,left,RightArrow,2.516898,43.78747,1.816978,1.741656
23,2.799812,True,0.33,down,DownArrow,1.365962,225.9445,-0.9498284,-0.9816709
24,10.98664,True,0.33,left,LeftArrow,3.209784,74.99147,0.8312149,3.10029
25,0.9668808,True,0.33,right,RightArrow,0.6449699,354.7633,0.6422779,-0.05886666
26,0.6239929,True,0.33,up,UpArrow,1.85052,291.0234,0.6638727,-1.727338
27,2.066849,True,0.33,right,RightArrow,0.8927956,210.8029,-0.7668523,-0.4571888
28,6.667023,True,0.33,down,DownArrow,2.247027,30.75803,1.930948,1.14916
29,2.59967,True,0.33,left,LeftArrow,2.583293,218.1752,-2.030789,-1.596652
30,4.168137,False,0.33,left,UpArrow,0.7863035,221.863,-0.5855934,-0.5247414
31,3.544495,True,0.33,right,RightArrow,3.217681,112.1946,-1.215492,2.97927
32,4.34346,True,0.33,right,RightArrow,3.148198,152.3398,-2.78841,1.461478
33,11.35434,False,0.33,left,RightArrow,0.4649534,353.4618,0.4619294,-0.05294223
34,0.9217224,True,0.33,up,UpArrow,0.7430182,63.19194,0.3351035,0.6631603
35,0.8029633,True,0.33,right,RightArrow,2.851233,298.1269,1.344146,-2.514518
36,1.134338,True,0.33,up,UpArrow,2.424934,32.87933,2.036497,1.316427
37,4.068542,True,0.33,up,UpArrow,3.822208,325.8931,3.164762,-2.143259
38,5.308121,True,0.33,up,UpArrow,1.4439,102.8876,-0.3220469,1.407527
39,12.72484,False,0.33,up,LeftArrow,3.34278,10.43298,3.287515,0.605328
40,1.074997,False,0.33,down,UpArrow,2.997759,225.1687,-2.113486,-2.125968
41,1.856461,True,0.33,down,DownArrow,2.070154,339.2776,1.936226,-0.7325063
42,6.791031,True,0.33,down,DownArrow,3.432653,80.68175,0.555809,3.387356
43,5.267746,False,0.33,down,RightArrow,2.788043,83.66887,0.3074496,2.771039
44,9.876968,True,0.33,down,DownArrow,0.3780651,1.169701,0.3779863,0.007717711
45,4.610367,True,0.33,down,DownArrow,2.640959,50.80095,1.66913,2.046624
46,8.373901,True,0.33,down,DownArrow,2.115763,24.85764,1.919748,0.8893929
47,0.6546478,True,0.33,up,UpArrow,2.216462,207.4937,-1.966137,-1.023234
48,2.750687,True,0.33,left,LeftArrow,1.426943,244.884,-0.6056698,-1.292026
49,1.888901,True,0.33,right,RightArrow,2.102841,277.4307,0.2719539,-2.085181
50,1.667709,False,0.33,right,UpArrow,3.78942,202.5322,-3.500153,-1.452114
