Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
280,1.733398,True,0.33,left,LeftArrow,0.7630033,333.6558,0.6837609,-0.338593
281,1.733276,False,0.33,down,RightArrow,0.5141282,58.45825,0.2689506,0.4381705
282,1.021973,True,0.33,right,RightArrow,0.4776731,96.16589,-0.05130564,0.4749098
283,0.8444824,True,0.33,left,LeftArrow,2.644821,248.1782,-0.9831355,-2.455305
284,0.677002,False,0.33,down,UpArrow,2.153701,58.03541,1.140159,1.827147
285,1.556519,False,0.33,left,RightArrow,3.207357,234.5838,-1.858701,-2.61388
286,3.039185,False,0.33,right,LeftArrow,3.57592,154.0159,-3.21445,1.566688
287,2.967896,True,0.33,down,DownArrow,1.165783,343.1914,1.115976,-0.3371162
288,0.878418,True,0.33,up,UpArrow,0.8767934,108.4066,-0.2768552,0.8319362
289,0.6677246,True,0.33,right,RightArrow,0.6793113,38.40897,0.5323057,0.4220361
290,0.6776123,False,0.33,up,LeftArrow,3.930391,245.859,-1.607466,-3.586646
291,2.002808,False,0.33,right,DownArrow,0.4188857,343.2637,0.4011418,-0.1206254
292,0.5671387,True,0.33,right,RightArrow,0.2983289,118.0191,-0.1401447,0.2633621
293,0.5672607,True,0.33,left,LeftArrow,2.068544,22.07797,1.916864,0.7774994
294,4.194946,False,0.33,down,RightArrow,1.71163,301.7835,0.9015333,-1.454962
295,0.9013672,True,0.33,left,LeftArrow,3.226506,73.38923,0.9223566,3.09186
296,0.989624,True,0.33,up,UpArrow,2.767288,114.9101,-1.165568,2.509847
297,1.602173,False,0.33,down,UpArrow,3.050935,151.9576,-2.692755,1.434321
298,1.586182,False,0.33,right,LeftArrow,2.073669,4.295869,2.067843,0.155332
