Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
0,1.344357,True,0.33,right,RightArrow,3.161309,357.3911,3.158032,-0.1439002
1,2.120979,False,0.33,down,UpArrow,3.07146,139.761,-2.344618,1.984095
2,1.033825,True,0.33,right,RightArrow,0.9739008,54.83422,0.5609125,0.7961532
3,0.6346855,True,0.33,up,UpArrow,2.773365,213.6772,-2.307925,-1.537868
4,13.50149,True,0.33,left,LeftArrow,2.79746,299.7411,1.387766,-2.428968
5,4.68811,True,0.33,right,RightArrow,1.399188,345.4484,1.354304,-0.3515491
6,4.250423,True,0.33,right,RightArrow,0.9354877,152.7784,-0.8318771,0.4279228
7,6.882698,True,0.33,down,DownArrow,1.17653,128.961,-0.739791,0.9148395
8,2.717781,False,0.33,down,RightArrow,0.1561475,312.8982,0.1062892,-0.1143881
9,1.011841,True,0.33,up,UpArrow,1.199414,130.1277,-0.7730148,0.917084
10,2.522949,True,0.33,down,DownArrow,1.17395,113.4041,-0.4663093,1.077364
11,0.6785049,True,0.33,right,RightArrow,3.541711,174.3951,-3.524779,0.3459113
12,2.344032,True,0.33,right,RightArrow,3.55485,134.8982,-2.509187,2.518121
13,2.378052,True,0.33,right,RightArrow,1.387321,350.0393,1.366409,-0.2399692
14,0.8127899,True,0.33,up,UpArrow,3.636175,25.11093,3.292513,1.543091
15,6.70089,False,0.33,left,RightArrow,1.216329,149.2059,-1.044842,0.6227061
16,1.666611,True,0.33,left,LeftArrow,3.317004,346.2025,3.22129,-0.7910785
17,4.657356,True,0.33,right,RightArrow,0.9347658,168.2213,-0.9150827,0.1908164
18,0.8344116,True,0.33,up,UpArrow,0.1122389,136.0044,-0.08074389,0.07796147
19,2.06736,True,0.33,left,LeftArrow,3.97525,310.2868,2.570454,-3.032388
20,2.619438,True,0.33,down,DownArrow,1.664317,120.9541,-0.8560441,1.427284
21,5.957184,False,0.33,down,RightArrow,3.408094,258.3454,-0.6884718,-3.33783
22,2.375267,True,0.33,down,DownArrow,0.3127818,264.9554,-0.02750334,-0.3115703
23,1.090019,True,0.33,right,RightArrow,0.7803316,136.0324,-0.5616304,0.541746
24,4.707703,True,0.33,up,UpArrow,3.75666,6.873751,3.729658,0.4496045
25,8.082649,False,0.33,left,RightArrow,1.939697,296.2397,0.8575917,-1.739816
26,4.612381,True,0.33,right,RightArrow,1.946332,345.8854,1.887572,-0.4746369
27,7.388596,False,0.33,down,UpArrow,0.1318049,145.3336,-0.1084067,0.07497019
28,1.423462,True,0.33,left,LeftArrow,0.5560246,4.220252,0.5545169,0.04091824
29,4.008575,True,0.33,down,DownArrow,1.561671,131.3624,-1.031983,1.172104
30,3.09201,True,0.33,right,RightArrow,3.42568,253.3061,-0.9840548,-3.281298
31,6.467148,True,0.33,right,RightArrow,0.9746141,72.37639,0.2950768,0.9288716
32,2.95636,True,0.33,up,UpArrow,0.967711,268.4617,-0.02597828,-0.9673622
33,8.447357,False,0.33,down,UpArrow,2.378256,170.3494,-2.3446,0.3986885
34,1.879578,True,0.33,right,RightArrow,0.2395816,217.5675,-0.189901,-0.1460717
35,0.7344818,True,0.33,up,UpArrow,2.288506,245.2439,-0.9583287,-2.078188
36,4.163376,False,0.33,right,DownArrow,3.405172,220.7193,-2.580832,-2.221375
37,3.145798,True,0.33,up,UpArrow,2.71162,181.7827,-2.710308,-0.08435496
38,6.747238,False,0.33,down,RightArrow,3.698864,116.6559,-1.659429,3.305737
39,4.720322,True,0.33,left,LeftArrow,2.997612,288.5095,0.9516256,-2.84255
40,1.756805,True,0.33,up,UpArrow,2.2376,162.4421,-2.133356,0.675017
41,3.568268,True,0.33,right,RightArrow,1.767049,286.8093,0.5110068,-1.691548
42,5.325867,False,0.33,right,UpArrow,2.865579,140.4421,-2.209308,1.824965
43,1.112976,False,0.33,left,RightArrow,1.963102,64.815,0.8353828,1.776486
44,7.435104,False,0.33,left,UpArrow,0.9670663,84.55713,0.09172937,0.962706
45,0.9785767,True,0.33,left,LeftArrow,3.679396,146.7936,-3.078562,2.015046
46,3.986694,True,0.33,down,DownArrow,1.842036,307.5959,1.123806,-1.459505
47,6.824966,True,0.33,right,RightArrow,1.898264,219.0838,-1.473478,-1.196774
48,6.34549,True,0.33,left,LeftArrow,2.034838,61.22839,0.979407,1.783628
49,7.565109,True,0.33,left,LeftArrow,2.609502,358.3413,2.608409,-0.0755334
50,2.347488,False,0.33,down,UpArrow,2.05913,17.36951,1.965232,0.6147183
51,1.733734,True,0.33,right,RightArrow,0.8320384,200.4943,-0.7793763,-0.2913083
52,2.556152,False,0.33,down,UpArrow,1.497757,39.965,1.147936,0.9620388
53,0.846344,True,0.33,up,UpArrow,3.77901,83.93156,0.3995033,3.757833
54,1.133484,True,0.33,right,RightArrow,3.793279,172.5521,-3.761276,0.4917018
55,1.911377,True,0.33,left,LeftArrow,0.6572509,203.584,-0.6023538,-0.2629613
56,16.74829,True,0.33,up,UpArrow,2.864172,41.10058,2.158316,1.882858
57,6.777313,True,0.33,right,RightArrow,0.9310474,48.50292,0.6168951,0.6973448
